Rank,City,State,2020 Estimate
293,Santa Maria , California ," 105,851.00 "
294,Wichita Falls , Texas ," 105,405.00 "
295,Las Cruces , New Mexico ," 105,096.00 "
296,Rialto , California ," 104,132.00 "
297,Green Bay , Wisconsin ," 103,836.00 "
298,West Covina , California ," 103,656.00 "
299,Nampa , Idaho ," 103,215.00 "
300,Spokane Valley , Washington ," 102,893.00 "
301,Chico , California ," 102,867.00 "
302,Tuscaloosa , Alabama ," 102,819.00 "
303,Norwalk , California ," 102,635.00 "
304,South Fulton , Georgia ," 102,567.00 "
305,El Cajon , California ," 102,401.00 "
306,San Mateo , California ," 102,398.00 "
307,Edinburg , Texas ," 102,374.00 "
308,Bend , Oregon ," 101,886.00 "
309,South Bend , Indiana ," 101,868.00 "
310,Burbank , California ," 101,866.00 "
311,Davenport , Iowa ," 101,799.00 "
312,Carmel , Indiana ," 101,643.00 "
313,San Angelo , Texas ," 101,612.00 "
314,Renton , Washington ," 101,494.00 "
315,Lee's Summit , Missouri ," 101,467.00 "
316,Vacaville , California ," 101,332.00 "
317,Vista , California ," 100,636.00 "
